date_time,temp,B1F,Heat1F,Heat2F,Heat3F,Heat4F,Heat5F,Heat6F,Heat7F,Heat8F,Heatsum
2022/6/27 7:00,28.1,0,0.01,0,0.007,0,0.007,0.013,0.032,0.01,0.101
2022/6/27 8:00,29.1,0,0.342,0.004,0.3,0.032,0.236,0.153,0.308,0.143,1.587
2022/6/27 9:00,29.3,0,0.224,0.127,0.221,0.072,0.196,0.065,0.15,0.103,1.15
2022/6/27 10:00,30,0,0.372,0.263,0.391,0.334,0.317,0.126,0.263,0.224,2.363
2022/6/27 11:00,30.8,0,0.379,0.27,0.382,0.27,0.338,0.099,0.294,0.235,2.308
2022/6/27 12:00,32.5,0,0.396,0.265,0.38,0.3,0.357,0.131,0.286,0.218,2.374
2022/6/27 13:00,32.6,0,0.424,0.266,0.378,0.214,0.404,0.179,0.306,0.188,2.399
2022/6/27 14:00,32.7,0,0.405,0.261,0.387,0.31,0.371,0.182,0.308,0.194,2.437
2022/6/27 15:00,33,0,0.401,0.266,0.376,0.279,0.391,0.165,0.318,0.181,2.423
2022/6/27 16:00,33.2,0,0.254,0.272,0.38,0.288,0.418,0.177,0.318,0.16,2.321
2022/6/27 17:00,32.8,0,0.1,0.282,0.349,0.266,0.439,0.165,0.342,0.152,2.138
2022/6/27 18:00,32.3,0,0.07,0.27,0.305,0.195,0.263,0.14,0.311,0.149,1.806
2022/6/27 19:00,31.6,0,0.039,0.266,0.194,0.044,0.105,0.135,0.241,0.119,1.248
2022/6/27 20:00,30.4,0,0.012,0.126,0.079,0.009,0.035,0.058,0.077,0.044,0.454
2022/6/27 21:00,30,0,0,0,0,0,0,0,0,0,0
2022/6/27 22:00,29.5,0,0,0,0,0,0,0,0,0,0
2022/6/27 23:00,29.1,0,0,0,0,0,0,0,0,0,0
2022/6/28 0:00,29.5,0,0,0,0,0,0,0,0,0,0
2022/6/28 1:00,28.8,0,0,0,0,0,0,0,0,0,0
2022/6/28 2:00,29.3,0,0,0,0,0,0,0,0,0,0
2022/6/28 3:00,28.9,0,0,0,0,0,0,0,0,0,0
2022/6/28 4:00,28.5,0,0,0,0,0,0,0,0,0,0
2022/6/28 5:00,28.6,0,0,0,0,0,0,0,0,0,0
2022/6/28 6:00,28.5,0,0,0,0,0,0,0,0,0,0
2022/6/28 7:00,28.5,0,0,0,0,0,0,0,0,0,0
2022/6/28 8:00,29.3,0,0.399,0,0.313,0.022,0.103,0.163,0.275,0.106,1.436
2022/6/28 9:00,30.4,0,0.422,0.178,0.365,0.069,0.174,0.149,0.262,0.216,1.856
2022/6/28 10:00,31.4,0,0.406,0.26,0.435,0.163,0.309,0.144,0.271,0.26,2.3
2022/6/28 11:00,32.1,0,0.393,0.238,0.394,0.243,0.384,0.133,0.268,0.249,2.316
2022/6/28 12:00,32.3,0,0.404,0.237,0.395,0.255,0.439,0.139,0.274,0.195,2.356
2022/6/28 13:00,32.8,0,0.418,0.226,0.37,0.264,0.434,0.142,0.31,0.214,2.39
